0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
signal_sensor_fail,29.95181056,29.577979600000003,32.29188201,29.46462483,28.79196041,30.77759876,28.50458061,32.41545549,29.50596948,0.0,28.87787581,0.0,29.93115766,28.63096012,0.0,30.22004476,29.64283268,29.30129767,30.65152288,28.27688217,30.90435025,29.34684089,30.17186711,29.25363887,30.58582836,28.93780508,28.616372,30.37107679,30.79052085,31.15963646,0.0,30.27702101,29.11775768,30.25580005,31.07401331,0.0,28.62221021,29.47395483,30.72158235,30.56747966,30.18413104,31.29244799,30.64897019,30.47365965,31.02241743,30.849173399999998,30.72837457,28.35594025,0.0,29.51139746,30.68858602,29.36757987,30.08427805,0.0,28.89705803,0.0,30.17764387,30.27483972,30.581611300000002,28.73374869,29.39116855,29.77147151,31.09283656,32.11983338,31.1386308,29.70844814,31.64929991,27.75071174,29.76088659,0.0,29.49511794,28.46253049,29.69064036,31.76976522,29.95461089,29.31630118,30.00676588,29.90228254,29.90159689,31.42568418,30.50446786,29.76545846,28.80222037,29.14252282,30.11004079,29.11243039,28.69981851,30.705521700000002,29.54657101,30.96333523,29.23639412,30.522684899999998,30.84105875,28.80701645,30.40682988,30.43201989,30.3592831,31.4772429,0.0,29.70989889,Anemometer errors
b'Convex_rise_with_decreasing_ends',29.28493166,26.33381024,27.4405935,29.94341333,30.84729256,26.28738843,31.07584935,30.08280798,30.98036613,32.10161172,32.61853972,27.16578175,27.62542049,30.07646272,30.38057079,29.27411736,32.80336818,29.25181739,30.19215212,26.80414287,29.63052584,27.57789305,27.99505334,28.93600148,28.77991611,29.89704958,29.92136078,29.0287641,28.68346741,29.84152385,32.21278624,40.97494705,43.22612275,47.218691299999996,45.62615496,46.21238367,48.07078383,51.22764236,47.46242426,50.81774993,53.21478262,53.93341756,50.91311404,54.20110547,57.10875985,53.148239100000005,53.16572093,59.32026883,54.85352361,57.09145117,57.87355693,59.14394763,59.02486498,60.81091881,62.07372058,58.69267242,59.95832169,60.04427229,59.65217591,60.26308943,62.02866784,62.95562885,61.69805237,59.90608294,59.41312961,62.23785067,63.83298635,61.510810600000006,63.439324899999995,65.00158438,66.10213369,64.89083752,66.05085338,63.59095753,66.46525857,64.53604969,65.52427495,66.99544752,67.32916805,67.86308121,66.12629778,66.63493548,66.78873558,69.34781746,66.48309418,66.14529468,68.14425463,64.36916975,65.15976882,66.85083489,70.0,66.39109237,66.7314631,66.85723659,66.83432241,65.90347244,65.74885498,62.71567436,65.94613387,62.67973131,Overheated oil
SteepDecreaseVariations,30.13654541,29.48177872,30.13653183,30.12346285,30.62712557,30.57900046,29.74745641,29.37733789,29.26004702,29.44535062,29.30143463,30.68587913,29.33452521,29.72971091,26.0,26.0,26.0,27.0,27.0,27.0,26.0,27.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,26.0,27.0,26.0,26.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,27.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,27.0,26.0,26.0,26.0,26.0,27.0,26.0,27.0,26.0,26.0,27.0,27.0,26.0,27.0,26.0,26.0,26.0,27.0,27.0,26.0,26.0,27.0,26.0,27.0,27.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,26.0,BladeAccumulatorPressureIssues
SteepDecrease,29.30269444,29.83853744,30.110409999999998,29.95469449,30.27008869,28.76228879,30.3379222,29.83468285,30.40765282,31.00658729,29.36531323,29.47465933,30.16903609,29.81365956,30.45808907,29.68929897,29.671822600000002,29.30307731,29.59114294,30.02844907,29.75963768,29.73443502,30.04723596,30.48255446,30.93410326,22.0,24.0,23.0,22.0,24.0,24.0,22.0,23.0,23.0,23.0,23.0,24.0,22.0,22.0,24.0,24.0,23.0,22.0,22.0,23.0,24.0,22.0,24.0,22.0,22.0,23.0,22.0,22.0,23.0,23.0,22.0,22.0,23.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,24.0,22.0,23.0,22.0,22.0,22.0,24.0,22.0,23.0,24.0,23.0,22.0,22.0,24.0,23.0,23.0,24.0,24.0,22.0,23.0,24.0,23.0,22.0,22.0,24.0,22.0,23.0,23.0,22.0,22.0,24.0,24.0,24.0,23.0,22.0,BladeAccumulatorPressureIssues
b'Linear_rise_with_constant_ends',27.41787283,28.60558284,27.6280179,31.25812753,30.79350591,32.07991683,33.15317183,27.74475775,31.18706085,27.29671822,26.40375653,29.02121647,29.9535652,28.72237855,29.49929688,28.33441108,29.43269412,28.80396624,31.64785844,31.36889913,30.15598097,29.75377894,30.38372677,31.73448979,32.80626582,31.07132037,35.52572919,31.65069718,33.41102018,33.35200414,37.9656233,38.06692265,32.12458589,33.08032893,35.35082378,38.55314613,37.54585206,38.79518811,39.32637001,39.74271159,37.19655829,42.42880212,45.90087989,41.73839314,41.59242371,43.58505487,41.88188646,42.68436524,45.83931344,46.23400574,47.28885413,47.80676616,44.78386591,46.72924475,49.74226959,50.42993045,45.03170558,51.06170995,49.85068149,48.48518671,50.70280504,50.56221417,52.54118144,54.83220069,52.46599334,52.94872079,56.61425102,56.62697835,47.65696487,53.77137779,53.4267586,57.213704500000006,53.92694178,57.2469527,59.23394647,60.88871967,57.87570276,61.07141079,58.65466419,62.02467563,62.77013267,63.17264031,64.12516227,61.92385766,63.48614693,65.63647954,62.64905515,66.54002696,67.41789903,68.10949303,68.47044508,64.69921633,63.01219999,66.3899934,68.07110415,65.23812077,66.48803881,66.51955869,67.56384654,70.0,Oil Leakage
signal_sensor_fail,29.81668914,30.85748204,28.14001986,28.82692711,29.37768347,29.93625734,30.02016657,0.0,28.71951765,30.33104314,29.24256743,28.78469411,30.95460717,27.44543092,29.62517118,30.24024987,30.778250699999997,29.77484976,30.83693568,28.62149874,0.0,28.63030142,30.36737568,31.19021744,30.07806242,32.26500736,30.09062715,31.47558932,30.04970501,31.29832726,30.3023307,31.18408834,28.16987976,31.146722600000004,28.56882509,29.82859517,30.57902935,0.0,29.68470829,29.29268834,30.12588548,0.0,30.65363682,0.0,29.98908467,28.75035917,31.35612208,29.54561917,29.87637561,30.54054406,30.11967964,0.0,29.951217800000002,28.99662128,29.90053341,29.80736007,30.04313475,29.61985901,28.32295566,0.0,29.28847923,28.67528072,30.60530799,28.45379401,30.14608028,27.91633923,30.523869899999998,29.60392931,31.150484999999996,0.0,29.84433751,29.64072481,31.3597368,28.34025616,30.68967726,29.14603018,29.35154814,29.44041989,28.96432053,31.19145568,29.62814683,29.51619807,30.32385847,27.89237661,29.44433853,30.53455183,0.0,31.16252561,28.587462,29.06990372,31.6763349,31.71837644,30.31392593,28.73886881,30.346749300000003,0.0,29.31878635,29.79606938,30.15684705,30.95762619,Anemometer errors
Slope1,29.88019306,29.62229795,29.95972117,29.894396899999997,29.65197359,29.99701822,30.28090008,30.25512083,29.32378043,30.60958098,29.67192348,29.61626048,29.98764409,29.81502554,30.59759193,29.51256168,30.19150109,30.50945864,30.36571489,29.86670484,27.0,27.0,27.0,27.0,28.0,27.0,27.0,27.0,27.0,28.0,27.0,26.0,27.0,26.0,27.0,27.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,26.0,26.0,26.0,26.0,25.0,24.0,25.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,23.0,23.0,24.0,24.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,21.556091100000003,22.94157707,22.58549196,22.85249284,21.0349687,21.78422731,21.88220333,22.08873985,21.789331699999998,21.60673648,22.79382171,21.78301204,21.55680142,22.61485507,21.39736647,22.65997475,21.98358162,22.51646547,22.22722211,22.63153099,CoolingSystemIssues
SteepDecrease,30.61755215,30.79652836,30.60403242,30.21444498,30.19742588,29.76703426,29.8838195,29.74564092,30.00017455,29.93627653,29.65583904,29.97325764,29.72184137,30.67466146,30.02608452,29.67251547,29.33707718,30.44685147,28.90859064,29.39860522,30.51698163,29.88076927,30.08039472,29.38388416,30.05096089,23.0,24.0,22.0,23.0,22.0,24.0,22.0,24.0,24.0,24.0,22.0,24.0,24.0,22.0,23.0,22.0,22.0,23.0,22.0,23.0,22.0,22.0,24.0,24.0,22.0,24.0,23.0,24.0,24.0,24.0,22.0,23.0,24.0,22.0,23.0,24.0,23.0,23.0,22.0,23.0,23.0,22.0,23.0,24.0,23.0,24.0,22.0,22.0,24.0,24.0,24.0,22.0,22.0,23.0,24.0,24.0,22.0,22.0,22.0,23.0,22.0,23.0,22.0,22.0,22.0,24.0,22.0,22.0,23.0,22.0,22.0,22.0,23.0,22.0,22.0,BladeAccumulatorPressureIssues
b'Linear_rise_with_decreasing_ends',29.16057196,28.01324847,28.25520787,31.61879773,28.20284799,30.64623553,32.30041218,28.77524485,28.69600079,28.40493928,34.45820752,30.60039755,27.19263869,31.92212709,31.31292993,29.79935297,26.55983386,29.78503321,31.6640216,27.55620621,33.0550309,26.99687025,34.39840927,28.99307377,32.51432221,30.67089837,30.360813099999998,31.32077512,28.38217444,29.48455851,29.21259948,30.42127958,31.20527718,31.54571354,32.50650496,31.51922553,32.08172753,29.45345712,27.90385971,31.67224068,29.190796999999996,33.71980671,34.95957448,42.57786461,44.14994886,49.07762949,49.67185786,57.27693846,59.98017052,63.66403520000001,66.31189544,70.0,64.00613891,64.60177676,65.46866744,62.71093436,67.89231853,64.6041905,67.08063508,62.37263852,65.86211754,63.89886203,64.96207208,66.58445184,64.12465734,63.54340117,60.83134833,64.6679175,63.41215656,61.40391441,66.18605558,64.73746463,63.81917036,61.33707548,63.53627671,63.95094184,64.50810396,62.57916963,60.50486891,59.86207675,60.3758656,60.76832896,65.17234004,62.65552077,62.53869469,60.37913451,60.29502056,60.51956354,61.39160419,60.10361649,59.69031069,57.39161418,60.98462277,60.07344858,60.12189726,61.32977022,63.03888511,57.13824838,59.19506813,54.86537246,Oil Leakage
SteepDecreaseVariations,30.27632234,29.86613426,29.48887124,29.49704717,30.112041899999998,30.37061547,28.93533004,29.55905671,30.14367138,30.20755711,29.85010744,29.82697236,30.44241009,30.14091749,30.63538511,30.52831141,30.93380878,29.59390116,29.59686755,29.86176027,30.20741849,29.19233994,29.19576047,30.225087300000002,29.74418649,29.81226669,30.18692641,29.50994027,30.68273276,29.62407799,28.82423584,24.0,23.0,24.0,23.0,24.0,23.0,24.0,23.0,23.0,24.0,23.0,23.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,24.0,23.0,24.0,24.0,24.0,24.0,23.0,23.0,24.0,24.0,24.0,23.0,24.0,23.0,24.0,24.0,23.0,24.0,23.0,23.0,24.0,24.0,23.0,23.0,24.0,24.0,23.0,24.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,24.0,BladeAccumulatorPressureIssues
